pair_type,video_a,frame_a,obj_a,video_b,frame_b,obj_b,pbd_box_end,pbd_coord_mean,pbd_full_mean,region,fused
negative_cross_video,3efc6e9892,00000,1,1180cbf814,00005,1,0.9698911309242249,,,0.6645700335502625,0.8192307353019714
negative_cross_video,3a079fb484,00005,1,a4757bd7af,00000,3,0.9254390001296997,,,0.5855472683906555,0.8776335120201111
negative_same_video,3efc6e9892,00005,1,3efc6e9892,00005,3,0.9434342384338379,,,1.0,0.8829700350761414
negative_cross_video,3efc6e9892,00000,1,a4757bd7af,00000,3,0.9276376962661743,,,0.7113029956817627,0.8327086567878723
negative_same_video,3efc6e9892,00000,2,3efc6e9892,00000,3,0.9707798957824707,,,1.0000001192092896,0.9297873973846436
negative_cross_video,3a079fb484,00005,1,625892cf0b,00005,1,0.8586128354072571,,,0.6750319600105286,0.8562611937522888
negative_same_video,3efc6e9892,00005,2,3efc6e9892,00005,1,0.964421272277832,,,1.0,0.9099223613739014
negative_same_video,1180cbf814,00005,2,1180cbf814,00005,1,0.7426916360855103,,,1.0,0.7906420826911926
negative_same_video,a4757bd7af,00000,2,a4757bd7af,00005,3,0.94257652759552,,,0.8865522146224976,0.8991662859916687
negative_cross_video,3efc6e9892,00000,2,1180cbf814,00000,2,0.9580562710762024,,,0.7019881010055542,0.8917743563652039
positive,3efc6e9892,00000,2,3efc6e9892,00005,2,0.9978733658790588,,,0.8876891136169434,0.986865222454071
negative_cross_video,3a079fb484,00005,1,3efc6e9892,00000,3,0.9426944255828857,,,0.6436414122581482,0.8724396824836731
negative_same_video,3efc6e9892,00005,3,3efc6e9892,00000,2,0.9699751138687134,,,0.8876891136169434,0.9343810677528381
positive,3efc6e9892,00000,1,3efc6e9892,00005,1,0.994672417640686,,,0.8876891136169434,0.9645085334777832
negative_same_video,a4757bd7af,00005,1,a4757bd7af,00005,2,0.8722248673439026,,,1.0,0.8575940132141113
negative_cross_video,3efc6e9892,00000,2,1180cbf814,00000,1,0.9341948628425598,,,0.7019881010055542,0.7722694873809814
negative_same_video,3efc6e9892,00005,1,3efc6e9892,00005,2,0.964421272277832,,,1.0,0.9099223613739014
negative_same_video,3efc6e9892,00005,2,3efc6e9892,00005,3,0.9717219471931458,,,1.0,0.9396059513092041
negative_cross_video,3efc6e9892,00000,1,625892cf0b,00000,2,0.708531379699707,,,0.6786465048789978,0.5286958813667297
negative_cross_video,3a079fb484,00005,1,7cc9258dee,00020,1,0.9557945132255554,,,0.7097571492195129,0.8612865805625916
positive,1180cbf814,00005,2,1180cbf814,00000,2,0.8142828941345215,,,0.9292600750923157,0.8193026185035706
negative_same_video,1180cbf814,00005,1,1180cbf814,00005,2,0.7426916360855103,,,1.0,0.7906420826911926
negative_cross_video,3efc6e9892,00000,2,625892cf0b,00000,1,0.5848435163497925,,,0.6786465048789978,0.6693871021270752
negative_same_video,3efc6e9892,00005,3,3efc6e9892,00005,1,0.9434342384338379,,,1.0,0.8829700350761414
negative_cross_video,3efc6e9892,00000,1,625892cf0b,00000,1,0.5822478532791138,,,0.6786465048789978,0.6143649220466614
negative_same_video,a4757bd7af,00000,3,a4757bd7af,00005,2,0.9526703357696533,,,0.8865522146224976,0.9110937714576721
negative_cross_video,3efc6e9892,00000,1,a4757bd7af,00000,1,0.9439530968666077,,,0.7113029956817627,0.8762614727020264
negative_same_video,a4757bd7af,00005,1,a4757bd7af,00005,3,0.9114133715629578,,,1.0,0.8493757247924805
negative_same_video,3efc6e9892,00005,1,3efc6e9892,00000,2,0.9638868570327759,,,0.8876891136169434,0.8969755172729492
negative_same_video,a4757bd7af,00000,3,a4757bd7af,00000,1,0.9001912474632263,,,1.0,0.8300061225891113
positive,ac46bd8087,00005,2,ac46bd8087,00000,2,0.7669050097465515,,,0.9374513030052185,0.6747248768806458
negative_same_video,3efc6e9892,00000,2,3efc6e9892,00000,1,0.9639781713485718,,,1.0000001192092896,0.8906148672103882
negative_cross_video,3a079fb484,00005,1,3efc6e9892,00005,3,0.9383864998817444,,,0.692315399646759,0.8919954299926758
negative_same_video,a4757bd7af,00000,2,a4757bd7af,00000,3,0.9467592835426331,,,1.0,0.9366414546966553
negative_cross_video,3efc6e9892,00000,2,a4757bd7af,00005,2,0.9506568312644958,,,0.7161790728569031,0.9103590250015259
negative_same_video,3efc6e9892,00000,1,3efc6e9892,00000,2,0.9639781713485718,,,1.0000001192092896,0.8906148672103882
negative_same_video,a4757bd7af,00005,1,a4757bd7af,00000,2,0.8482401371002197,,,0.8865522146224976,0.836675226688385
negative_cross_video,3a079fb484,00005,1,7cc9258dee,00025,1,0.9522168040275574,,,0.6046984195709229,0.8644005656242371
positive,a4757bd7af,00000,3,a4757bd7af,00005,3,0.9954684972763062,,,0.8865522146224976,0.9401447176933289
negative_same_video,3efc6e9892,00005,2,3efc6e9892,00000,1,0.9636092782020569,,,0.8876891136169434,0.8840016722679138
negative_same_video,3efc6e9892,00005,3,3efc6e9892,00000,1,0.9436798095703125,,,0.8876891136169434,0.8676949143409729
negative_cross_video,3efc6e9892,00000,2,625892cf0b,00005,3,0.7537662386894226,,,0.6870448589324951,0.5896912217140198
negative_cross_video,3a079fb484,00005,1,625892cf0b,00005,3,0.7007810473442078,,,0.6750319600105286,0.6798248291015625
negative_cross_video,3efc6e9892,00000,1,1180cbf814,00000,1,0.9621303081512451,,,0.7019881010055542,0.850579023361206
negative_same_video,a4757bd7af,00000,1,a4757bd7af,00000,2,0.8390060067176819,,,1.0,0.8619455099105835
negative_same_video,3efc6e9892,00000,3,3efc6e9892,00005,2,0.9723180532455444,,,0.8876891136169434,0.9234284162521362
negative_cross_video,3efc6e9892,00000,2,625892cf0b,00005,1,0.8951836228370667,,,0.6870448589324951,0.765717089176178
negative_cross_video,3efc6e9892,00000,1,625892cf0b,00005,3,0.705470085144043,,,0.6870448589324951,0.5008817315101624
negative_same_video,3efc6e9892,00000,2,3efc6e9892,00005,1,0.9638868570327759,,,0.8876891136169434,0.8969755172729492
negative_same_video,3efc6e9892,00005,2,3efc6e9892,00000,3,0.9723180532455444,,,0.8876891136169434,0.9234284162521362
negative_same_video,3efc6e9892,00005,3,3efc6e9892,00005,2,0.9717219471931458,,,1.0,0.9396059513092041
negative_cross_video,3efc6e9892,00000,1,1180cbf814,00005,2,0.7178155779838562,,,0.6645700335502625,0.6690762639045715
negative_same_video,3efc6e9892,00000,1,3efc6e9892,00000,3,0.945431113243103,,,1.0000001192092896,0.8540408611297607
negative_cross_video,3a079fb484,00005,1,3efc6e9892,00000,2,0.9364185929298401,,,0.6436414122581482,0.8456903100013733
positive,a4757bd7af,00005,2,a4757bd7af,00000,2,0.989102840423584,,,0.8865522146224976,0.9625959992408752
positive,625892cf0b,00000,1,625892cf0b,00005,1,0.5931873321533203,,,0.973709762096405,0.8473435044288635
negative_cross_video,3efc6e9892,00000,2,7cc9258dee,00020,1,0.963212788105011,,,0.6870900392532349,0.8320759534835815
negative_same_video,3efc6e9892,00000,1,3efc6e9892,00005,3,0.9436798095703125,,,0.8876891136169434,0.8676949143409729
negative_same_video,1180cbf814,00000,2,1180cbf814,00000,1,0.914434015750885,,,0.9999999403953552,0.7689680457115173
negative_cross_video,3efc6e9892,00000,2,ac46bd8087,00005,1,0.9699691534042358,,,0.583992600440979,0.8852469325065613
positive,625892cf0b,00005,1,625892cf0b,00000,1,0.5931873321533203,,,0.973709762096405,0.8473435044288635
negative_cross_video,3efc6e9892,00000,2,a4757bd7af,00000,3,0.9574536085128784,,,0.7113029956817627,0.869270920753479
negative_cross_video,3efc6e9892,00000,2,625892cf0b,00000,2,0.7525046467781067,,,0.6786465048789978,0.6279705166816711
negative_cross_video,3a079fb484,00005,1,a4757bd7af,00000,1,0.9685230255126953,,,0.5855472683906555,0.8503308296203613
negative_cross_video,3efc6e9892,00000,1,a4757bd7af,00000,2,0.8867009282112122,,,0.7113029956817627,0.793060839176178
negative_same_video,3efc6e9892,00000,3,3efc6e9892,00000,1,0.945431113243103,,,1.0000001192092896,0.8540408611297607
negative_cross_video,3efc6e9892,00000,1,1180cbf814,00000,2,0.9160487651824951,,,0.7019881010055542,0.7722247838973999
negative_cross_video,3efc6e9892,00000,1,625892cf0b,00005,1,0.8437486290931702,,,0.6870448589324951,0.6653292179107666
negative_cross_video,3efc6e9892,00000,2,a4757bd7af,00000,2,0.9377381205558777,,,0.7113029956817627,0.9018206000328064
negative_same_video,1180cbf814,00000,1,1180cbf814,00000,2,0.914434015750885,,,0.9999999403953552,0.7689680457115173
negative_cross_video,3a079fb484,00005,1,ac46bd8087,00005,1,0.9254910945892334,,,0.6699429154396057,0.888731837272644
negative_same_video,625892cf0b,00005,3,625892cf0b,00000,1,0.658189594745636,,,0.973709762096405,0.7542975544929504
negative_same_video,625892cf0b,00000,2,625892cf0b,00005,3,0.9009076356887817,,,0.973709762096405,0.8453050255775452
negative_cross_video,3efc6e9892,00000,2,1180cbf814,00005,1,0.9592368006706238,,,0.6645700335502625,0.8298560380935669
positive,3efc6e9892,00000,3,3efc6e9892,00005,3,0.9971558451652527,,,0.8876891136169434,0.969618558883667
negative_cross_video,3a079fb484,00005,1,a4757bd7af,00000,2,0.8670206665992737,,,0.5855472683906555,0.8534218668937683
negative_same_video,a4757bd7af,00000,1,a4757bd7af,00000,3,0.9001912474632263,,,1.0,0.8300061225891113
negative_same_video,625892cf0b,00005,1,625892cf0b,00005,3,0.7568333745002747,,,1.0000001192092896,0.7102023363113403
positive,3efc6e9892,00005,1,3efc6e9892,00000,1,0.994672417640686,,,0.8876891136169434,0.9645085334777832
positive,1180cbf814,00000,1,1180cbf814,00005,1,0.9620295166969299,,,0.9292600750923157,0.8616573810577393
negative_cross_video,3a079fb484,00005,1,625892cf0b,00000,1,0.5672019124031067,,,0.6455638408660889,0.7838250994682312
negative_same_video,3efc6e9892,00000,3,3efc6e9892,00005,1,0.9454988241195679,,,0.8876891136169434,0.858751654624939
positive,ac46bd8087,00000,2,ac46bd8087,00005,2,0.7669050097465515,,,0.9374513030052185,0.6747248768806458
negative_cross_video,3efc6e9892,00000,2,1180cbf814,00005,2,0.7754802703857422,,,0.6645700335502625,0.7624671459197998
positive,a4757bd7af,00005,3,a4757bd7af,00000,3,0.9954684972763062,,,0.8865522146224976,0.9401447176933289
negative_cross_video,3a079fb484,00005,1,3efc6e9892,00005,2,0.9416077136993408,,,0.692315399646759,0.8499775528907776
positive,3efc6e9892,00005,3,3efc6e9892,00000,3,0.9971558451652527,,,0.8876891136169434,0.969618558883667
